owner	BAKEHOUSE	BEER & WINE	BREAD	BULK	CHEESE	DELI	FISH&SEAFOOD	FLOWERS	FROZEN	GEN MERCH	HERBS&SPICES	JUICE BAR	MEAT	PACKAGED GROCERY	PERSONAL CARE	PRODUCE	REF GROCERY	SUPPLEMENTS	total_spend
34440	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	3.99
49431	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32	0.0	0.12	0.56	27.97
49432	0.0	0.0	0.0	0.0	0.1	0.3	0.0	0.0	0.0	0.0	0.0	0.44	0.0	0.09	0.0	0.0	0.07	0.0	38.18
34453	0.0	0.0	0.0	0.0	0.0	0.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36	0.22	0.0	0.0	24.77
49433	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.05	0.0	0.09	0.28	0.24	0.12	0.16	0.05	0.0	919.03
34457	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34	0.0	0.21	0.35	0.0	18.76
49434	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.0	0.0	0.42	0.0	0.0	0.16	0.24	0.0	32.67
34467	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.47
49436	0.0	0.0	0.03	0.02	0.01	0.14	0.01	0.01	0.06	0.02	0.0	0.1	0.01	0.22	0.06	0.16	0.08	0.07	1847.45
49438	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.47	0.0	0.0	0.23	0.0	25.37
49439	0.0	0.0	0.01	0.0	0.0	0.04	0.0	0.0	0.04	0.0	0.0	0.0	0.1	-0.0	0.08	0.58	0.16	0.0	423.54
49440	0.0	0.0	0.0	0.27	0.12	0.02	0.0	0.02	0.0	0.0	0.0	0.0	0.04	0.35	0.0	0.14	0.05	0.0	164.93
49441	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.68	0.0	0.32	0.0	11.78
34504	0.0	0.0	0.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.26	0.0	0.26	0.0	0.0	23.35
46275	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.04	0.11	0.0	0.0	0.16	0.08	0.0	0.43	0.17	0.0	196.69
49442	0.0	0.0	0.02	0.01	0.0	0.17	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.65	0.0	0.12	0.0	0.0	48.05
49444	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.38
49445	0.0	0.05	0.0	0.15	0.0	0.19	0.0	0.0	0.13	0.0	0.0	0.0	0.01	0.25	0.0	0.13	0.09	0.0	479.95
49446	0.0	0.0	0.0	0.22	0.13	0.05	0.0	0.0	0.0	0.01	0.01	0.0	0.0	0.26	0.0	0.12	0.19	0.0	183.43
49448	0.0	0.0	0.03	0.0	0.08	0.2	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.45	0.02	0.1	0.03	0.0	234.95
49449	0.0	0.0	0.0	0.0	0.01	0.03	0.0	0.0	0.04	0.12	0.0	0.0	0.0	0.19	0.01	0.16	0.22	0.22	504.55
34555	0.0	0.0	0.06	0.0	0.0	0.03	0.02	0.0	0.0	0.13	0.0	0.0	0.03	0.38	0.0	0.02	0.03	0.3	173.35
49450	0.0	0.0	0.18	0.0	0.0	0.44	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.15	0.09	0.0	0.0	0.0	21.73
49451	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.41	0.0	0.0	0.0	0.0	0.43	0.0	0.0	0.16	0.0	29.15
34566	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.39
49452	0.0	0.0	0.0	0.03	0.01	0.05	0.0	0.0	0.04	0.02	0.0	0.06	0.02	0.19	0.17	0.17	0.18	0.06	1365.54
49453	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.08
34576	0.0	0.0	0.0	0.08	0.11	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.26	0.0	0.27	0.06	0.0	165.87
49454	0.0	0.0	0.0	0.01	0.0	0.08	0.0	0.0	0.01	0.03	0.0	0.03	0.0	0.67	0.0	0.11	0.05	0.0	174.26
